,cloud_cover,apparent_temperature,temperature,humidity,dew_point,wind_bearing,wind_speed,wind_gust,pressure,uv_index,ozone,precip_intensity,precip_probability,power_generated,clear-night,cloudy,fog,partly-cloudy-day,partly-cloudy-night,rain,wind,8,9,10,11,12,13,14,15,16,17,Clear,Foggy,Humid,Humid and Foggy,Humid and Mostly Cloudy,Humid and Overcast,Humid and Partly Cloudy,Light Rain,Light Rain and Humid,Mostly Cloudy,Overcast,Partly Cloudy,Possible Drizzle and Humid,Possible Light Rain,Possible Light Rain and Humid,Rain,Rain and Humid
9930,0.0,30.92,31,0,-2.11,77.0,3.59,5.63,1001.34,1.0,269.4,0.0,0.0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9931,0.0,32.7,33,0,-1.47,77.0,3.78,7.47,1002.08,2.0,269.4,0.0,0.0,5.28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9932,0.0,34.58,35,0,-0.75,83.0,3.85,7.71,1002.43,5.0,269.2,0.0,0.0,8.49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9933,0.0,36.44,36,0,0.25,98.0,3.77,6.33,1002.36,8.0,268.9,0.0,0.0,10.97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9934,0.0,38.01,38,0,1.02,119.0,3.63,4.88,1002.18,11.0,269.5,0.0,0.0,12.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9935,0.0,39.12,39,0,1.47,138.0,3.64,4.59,1001.83,12.0,270.4,0.0,0.0,13.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9936,0.0,39.95,40,0,1.66,150.0,3.81,5.35,1001.15,12.0,270.4,0.0,0.0,13.47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9937,0.0,40.62,41,0,1.43,159.0,3.91,6.29,1000.46,10.0,270.2,0.0,0.0,12.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9938,0.0,41.22,41,0,0.51,171.0,3.76,6.74,999.55,7.0,270.0,0.0,0.0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9939,0.01,41.91,42,0,-1.07,185.0,3.39,6.71,998.44,4.0,269.8,0.0,0.0,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9940,0.03,42.75,43,0,0.65,233.0,3.53,5.83,997.6,2.0,269.5,0.0,0.0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9954,0.0,27.33,27,0,9.63,39.0,3.16,5.85,1001.01,1.0,271.5,0.0,0.0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9955,0.0,28.95,29,0,9.31,49.0,3.27,5.4,1001.67,2.0,272.2,0.0,0.0,4.84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9956,0.0,31.14,31,0,8.54,49.0,3.31,4.67,1002.08,5.0,272.5,0.0,0.0,8.07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9957,0.0,33.77,34,0,7.57,39.0,3.29,3.79,1002.13,8.0,272.6,0.01,0.01,11.72,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9958,0.0,36.23,36,0,5.8,25.0,3.3,3.34,1002.04,11.0,273.4,0.01,0.01,13.44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9959,0.0,37.92,38,0,4.34,10.0,3.43,3.43,1001.84,12.0,274.4,0.01,0.01,14.21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9960,0.0,38.98,39,0,3.94,353.0,3.71,3.71,1001.3,12.0,274.4,0.01,0.01,14.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9961,0.0,39.7,40,0,3.47,340.0,4.04,4.04,1000.49,10.0,274.4,0.0,0.0,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9962,0.0,40.12,40,0,2.29,332.0,4.22,4.22,999.71,7.0,274.5,0.0,0.0,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9963,0.0,40.46,40,0,0.42,329.0,4.24,4.24,999.12,4.0,274.6,0.0,0.0,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9964,0.0,40.75,41,0,-0.57,333.0,3.55,3.55,998.63,2.0,274.4,0.0,0.0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9978,0.0,29.19,29,0,9.93,77.0,3.25,7.86,1002.0,1.0,273.7,0.0,0.0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
